"Town","FIPS","Year","Month","Admission Type","Measure Type","Variable","Value"
"Andover","0901301080","2013","January","Substance Abuse","Number","DMHAS Admissions",0
"Andover","0901301080","2013","February","Substance Abuse","Number","DMHAS Admissions",0
"Andover","0901301080","2013","March","Substance Abuse","Number","DMHAS Admissions",0
"Andover","0901301080","2013","April","Substance Abuse","Number","DMHAS Admissions",0
"Andover","0901301080","2013","May","Substance Abuse","Number","DMHAS Admissions",0
"Andover","0901301080","2013","June","Substance Abuse","Number","DMHAS Admissions",0
"Andover","0901301080","2013","July","Substance Abuse","Number","DMHAS Admissions",-9999
"Andover","0901301080","2013","August","Substance Abuse","Number","DMHAS Admissions",-9999
"Andover","0901301080","2013","September","Substance Abuse","Number","DMHAS Admissions",-9999
"Andover","0901301080","2013","October","Substance Abuse","Number","DMHAS Admissions",-9999
"Andover","0901301080","2013","November","Substance Abuse","Number","DMHAS Admissions",-9999
"Andover","0901301080","2013","December","Substance Abuse","Number","DMHAS Admissions",-9999
"Andover","0901301080","2014","January","Substance Abuse","Number","DMHAS Admissions",-9999
"Andover","0901301080","2014","February","Substance Abuse","Number","DMHAS Admissions",-9999
"Andover","0901301080","2014","March","Substance Abuse","Number","DMHAS Admissions",-9999
"Andover","0901301080","2014","April","Substance Abuse","Number","DMHAS Admissions",-9999
"Andover","0901301080","2014","May","Substance Abuse","Number","DMHAS Admissions",-9999
"Andover","0901301080","2014","June","Substance Abuse","Number","DMHAS Admissions",-9999
"Andover","0901301080","2014","July","Substance Abuse","Number","DMHAS Admissions",-9999
"Andover","0901301080","2014","August","Substance Abuse","Number","DMHAS Admissions",-9999
"Andover","0901301080","2014","September","Substance Abuse","Number","DMHAS Admissions",-9999
"Andover","0901301080","2014","October","Substance Abuse","Number","DMHAS Admissions",-9999
"Andover","0901301080","2014","November","Substance Abuse","Number","DMHAS Admissions",-9999
"Andover","0901301080","2014","December","Substance Abuse","Number","DMHAS Admissions",-9999
"Andover","0901301080","2015","January","Substance Abuse","Number","DMHAS Admissions",-9999
"Andover","0901301080","2015","February","Substance Abuse","Number","DMHAS Admissions",-9999
"Andover","0901301080","2015","March","Substance Abuse","Number","DMHAS Admissions",-9999
"Andover","0901301080","2015","April","Substance Abuse","Number","DMHAS Admissions",-9999
"Andover","0901301080","2015","May","Substance Abuse","Number","DMHAS Admissions",-9999
"Andover","0901301080","2015","June","Substance Abuse","Number","DMHAS Admissions",-9999
"Andover","0901301080","2015","July","Substance Abuse","Number","DMHAS Admissions",-9999
"Andover","0901301080","2015","August","Substance Abuse","Number","DMHAS Admissions",-9999
"Andover","0901301080","2015","September","Substance Abuse","Number","DMHAS Admissions",-9999
"Andover","0901301080","2015","October","Substance Abuse","Number","DMHAS Admissions",-9999
"Andover","0901301080","2015","November","Substance Abuse","Number","DMHAS Admissions",-9999
"Andover","0901301080","2015","December","Substance Abuse","Number","DMHAS Admissions",-9999
"Andover","0901301080","2016","January","Substance Abuse","Number","DMHAS Admissions",-9999
"Andover","0901301080","2016","February","Substance Abuse","Number","DMHAS Admissions",-9999
"Andover","0901301080","2016","March","Substance Abuse","Number","DMHAS Admissions",-9999
"Andover","0901301080","2016","April","Substance Abuse","Number","DMHAS Admissions",-9999
"Andover","0901301080","2016","May","Substance Abuse","Number","DMHAS Admissions",-9999
"Andover","0901301080","2016","June","Substance Abuse","Number","DMHAS Admissions",-9999
"Andover","0901301080","2016","July","Substance Abuse","Number","DMHAS Admissions",0
"Andover","0901301080","2016","August","Substance Abuse","Number","DMHAS Admissions",0
"Andover","0901301080","2016","September","Substance Abuse","Number","DMHAS Admissions",0
"Andover","0901301080","2016","October","Substance Abuse","Number","DMHAS Admissions",0
"Andover","0901301080","2016","November","Substance Abuse","Number","DMHAS Admissions",0
"Andover","0901301080","2016","December","Substance Abuse","Number","DMHAS Admissions",0
"Ansonia","0900901220","2013","January","Substance Abuse","Number","DMHAS Admissions",0
"Ansonia","0900901220","2013","February","Substance Abuse","Number","DMHAS Admissions",0
"Ansonia","0900901220","2013","March","Substance Abuse","Number","DMHAS Admissions",0
"Ansonia","0900901220","2013","April","Substance Abuse","Number","DMHAS Admissions",0
"Ansonia","0900901220","2013","May","Substance Abuse","Number","DMHAS Admissions",0
"Ansonia","0900901220","2013","June","Substance Abuse","Number","DMHAS Admissions",0
"Ansonia","0900901220","2013","July","Substance Abuse","Number","DMHAS Admissions",42
"Ansonia","0900901220","2013","August","Substance Abuse","Number","DMHAS Admissions",43
"Ansonia","0900901220","2013","September","Substance Abuse","Number","DMHAS Admissions",39
"Ansonia","0900901220","2013","October","Substance Abuse","Number","DMHAS Admissions",33
"Ansonia","0900901220","2013","November","Substance Abuse","Number","DMHAS Admissions",38
"Ansonia","0900901220","2013","December","Substance Abuse","Number","DMHAS Admissions",45
"Ansonia","0900901220","2014","January","Substance Abuse","Number","DMHAS Admissions",35
"Ansonia","0900901220","2014","February","Substance Abuse","Number","DMHAS Admissions",38
"Ansonia","0900901220","2014","March","Substance Abuse","Number","DMHAS Admissions",45
"Ansonia","0900901220","2014","April","Substance Abuse","Number","DMHAS Admissions",46
"Ansonia","0900901220","2014","May","Substance Abuse","Number","DMHAS Admissions",40
"Ansonia","0900901220","2014","June","Substance Abuse","Number","DMHAS Admissions",56
"Ansonia","0900901220","2014","July","Substance Abuse","Number","DMHAS Admissions",54
"Ansonia","0900901220","2014","August","Substance Abuse","Number","DMHAS Admissions",53
"Ansonia","0900901220","2014","September","Substance Abuse","Number","DMHAS Admissions",50
"Ansonia","0900901220","2014","October","Substance Abuse","Number","DMHAS Admissions",60
"Ansonia","0900901220","2014","November","Substance Abuse","Number","DMHAS Admissions",41
